scenario,pathway,functional_unit,system_activity_database,system_activity_code,exchange_index,exchange_type,stage,material_code,flow_key,portable_mapping_key,provider_or_flow_name,provider_or_flow_database,provider_or_flow_code,provider_location,biosphere_categories,quantity_per_functional_unit,flow_unit,mass_allocation_fraction,mass_allocated_quantity_per_functional_unit,exchange_formula,exchange_comment,is_internal_zero_impact_link,include_in_lcia
s_c1,BC1,1 kilogram graphite,graphite_system,system::graphite_prod_char::graphtz_char,1,technosphere,"slow pyrolysis, biochar production, no byproduct",diesel,technosphere|ei39_cutoff|b613a0e604fce45d4146006a310d2872,technosphere::market for diesel::RoW::kilogram,market for diesel,ei39_cutoff,b613a0e604fce45d4146006a310d2872,RoW,,0.007136592719637666,kilogram,1.0,0.007136592719637666,tech__slow_pyrolysis_biochar_production_no_byproduct__market_for_diesel,"stage=slow pyrolysis, biochar production, no byproduct; provider_group=background",False,True
s_c1,BC1,1 kilogram graphite,graphite_system,system::graphite_prod_char::graphtz_char,2,technosphere,"slow pyrolysis, biochar production, no byproduct",N2,technosphere|ei39_cutoff|2ba127601085d3c181813d9d3c33b22a,"technosphere::market for nitrogen, liquid::RoW::kilogram","market for nitrogen, liquid",ei39_cutoff,2ba127601085d3c181813d9d3c33b22a,RoW,,0.024779835832075225,kilogram,1.0,0.024779835832075225,(0.024779835832075225)*stage_scale__slow_pyrolysis_biochar_production_no_byproduct,"stage=slow pyrolysis, biochar production, no byproduct; provider_group=background",False,True
s_c1,BC1,1 kilogram graphite,graphite_system,system::graphite_prod_char::graphtz_char,3,technosphere,"slow pyrolysis, biochar production, no byproduct",electricity,technosphere|ei39_cutoff|2df74714a5a7c8cc88d704fee4a848dd,"technosphere::market group for electricity, medium voltage::US::kilowatt hour","market group for electricity, medium voltage",ei39_cutoff,2df74714a5a7c8cc88d704fee4a848dd,US,,0.5940274878856957,kilowatt hour,1.0,0.5940274878856957,tech__slow_pyrolysis_biochar_production_no_byproduct__market_group_for_electricity_medium_voltage,"stage=slow pyrolysis, biochar production, no byproduct; provider_group=background",False,True
s_c1,BC1,1 kilogram graphite,graphite_system,system::graphite_prod_char::graphtz_char,4,technosphere,"treatment of waste water, waste water, to emit, in char graphite, no byproduct",,technosphere|ei39_cutoff|c2656868cbf6ba64e023684bbaf2f2a3,"technosphere::treatment of wastewater, average, wastewater treatment::RoW::cubic meter","treatment of wastewater, average, wastewater treatment",ei39_cutoff,c2656868cbf6ba64e023684bbaf2f2a3,RoW,,-0.0008984972462837766,cubic meter,1.0,-0.0008984972462837766,(-0.0008984972462837766)*stage_scale__treatment_of_waste_water_waste_water_to_emit_in_char_graphite_no_byproduct,"stage=treatment of waste water, waste water, to emit, in char graphite, no byproduct; provider_group=background",False,True
s_c1,BC1,1 kilogram graphite,graphite_system,system::graphite_prod_char::graphtz_char,5,technosphere,"residues production, forestry residue",,technosphere|ei39_cutoff|289eaaf5e6f8ef0f5df16e297e913692,"technosphere::hardwood forestry, beech, sustainable forest management::RoW::kilogram","hardwood forestry, beech, sustainable forest management",ei39_cutoff,289eaaf5e6f8ef0f5df16e297e913692,RoW,,0.2643182365144131,kilogram,1.0,0.2643182365144131,(0.2643182365144131)*stage_scale__residues_production_forestry_residue,"stage=residues production, forestry residue; provider_group=background",False,True
s_c1,BC1,1 kilogram graphite,graphite_system,system::graphite_prod_char::graphtz_char,6,technosphere,"residues production, forestry residue",,technosphere|ei39_cutoff|cc629a57d77e951cdca1ee8b9abb4d32,"technosphere::hardwood forestry, birch, sustainable forest management::RoW::kilogram","hardwood forestry, birch, sustainable forest management",ei39_cutoff,cc629a57d77e951cdca1ee8b9abb4d32,RoW,,0.2643182365144131,kilogram,1.0,0.2643182365144131,(0.2643182365144131)*stage_scale__residues_production_forestry_residue,"stage=residues production, forestry residue; provider_group=background",False,True
s_c1,BC1,1 kilogram graphite,graphite_system,system::graphite_prod_char::graphtz_char,7,technosphere,"residues production, forestry residue",,technosphere|ei39_cutoff|39637a65852c08973cb0b45962f74e09,"technosphere::hardwood forestry, eucalyptus ssp., planted forest management::RoW::kilogram","hardwood forestry, eucalyptus ssp., planted forest management",ei39_cutoff,39637a65852c08973cb0b45962f74e09,RoW,,0.2643182365144131,kilogram,1.0,0.2643182365144131,(0.2643182365144131)*stage_scale__residues_production_forestry_residue,"stage=residues production, forestry residue; provider_group=background",False,True
s_c1,BC1,1 kilogram graphite,graphite_system,system::graphite_prod_char::graphtz_char,8,technosphere,"residues production, forestry residue",,technosphere|ei39_cutoff|c655f5b0ff84702a0077ad38fdf4f750,"technosphere::hardwood forestry, oak, sustainable forest management::RoW::kilogram","hardwood forestry, oak, sustainable forest management",ei39_cutoff,c655f5b0ff84702a0077ad38fdf4f750,RoW,,0.2643182365144131,kilogram,1.0,0.2643182365144131,(0.2643182365144131)*stage_scale__residues_production_forestry_residue,"stage=residues production, forestry residue; provider_group=background",False,True
s_c1,BC1,1 kilogram graphite,graphite_system,system::graphite_prod_char::graphtz_char,9,technosphere,"residues production, forestry residue",,technosphere|ei39_cutoff|7f63fa1d975fd20397933993cfe1bbf2,"technosphere::softwood forestry, pine, sustainable forest management::RoW::kilogram","softwood forestry, pine, sustainable forest management",ei39_cutoff,7f63fa1d975fd20397933993cfe1bbf2,RoW,,0.2643182365144131,kilogram,1.0,0.2643182365144131,(0.2643182365144131)*stage_scale__residues_production_forestry_residue,"stage=residues production, forestry residue; provider_group=background",False,True
s_c1,BC1,1 kilogram graphite,graphite_system,system::graphite_prod_char::graphtz_char,10,technosphere,"residues production, forestry residue",,technosphere|ei39_cutoff|a54115ba044e5f4394c78824ef3e2c6f,"technosphere::softwood forestry, spruce, sustainable forest management::RoW::kilogram","softwood forestry, spruce, sustainable forest management",ei39_cutoff,a54115ba044e5f4394c78824ef3e2c6f,RoW,,0.2643182365144131,kilogram,1.0,0.2643182365144131,(0.2643182365144131)*stage_scale__residues_production_forestry_residue,"stage=residues production, forestry residue; provider_group=background",False,True
