profile,parameter,value,unit
literature_hybrid,name,literature_hybrid,text
literature_hybrid,target_irr,0.1,fraction
literature_hybrid,equity_pct,0.4,fraction
literature_hybrid,loan_interest,0.08,fraction
literature_hybrid,loan_term_yr,10,year
literature_hybrid,tax_rate,0.21,fraction
literature_hybrid,project_years,30,year
literature_hybrid,operating_hours,8000.0,h/year
literature_hybrid,construction_fraction_year_-2,0.08,fraction
literature_hybrid,construction_fraction_year_-1,0.6,fraction
literature_hybrid,construction_fraction_year_+0,0.32,fraction
literature_hybrid,direct_adders_basis,isbl,text
literature_hybrid,warehouse_pct,0.04,fraction
literature_hybrid,site_dev_pct,0.09,fraction
literature_hybrid,add_pipe_pct,0.045,fraction
literature_hybrid,proratable_pct,0.1,fraction
literature_hybrid,field_exp_pct,0.1,fraction
literature_hybrid,home_office_pct,0.2,fraction
literature_hybrid,contingency_pct,0.1,fraction
literature_hybrid,other_pct,0.1,fraction
literature_hybrid,working_capital_pct,0.05,fraction
literature_hybrid,land_needed_acre,132.0,acre
literature_hybrid,cost_per_acre,14000.0,USD/acre
literature_hybrid,maintenance_pct,0.03,fraction
literature_hybrid,maintenance_basis,fci,text
literature_hybrid,insurance_property_tax_pct_fci,0.01,fraction
literature_hybrid,start_up_time_yr,0.25,year
literature_hybrid,capacity_ramp,0.5,fraction
literature_hybrid,variable_ramp,0.75,fraction
literature_hybrid,fixed_ramp,1.0,fraction
literature_hybrid,dep_general,macrs7,text
literature_hybrid,dep_steam,straight20,text
